date,regime_score,dyn_n,n_held,exits,entries,exits_52h,exits_adtv,exits_reldd,exits_rank,exits_data
2017-11-06,0.6810042194735558,23,23,0,23,0,0,0,0,0
2017-11-13,0.6238093612454377,21,23,0,0,0,0,0,0,0
2017-11-20,0.6429345882614574,22,23,0,0,0,0,0,0,0
2017-11-27,0.6686423680773216,22,23,0,0,0,0,0,0,0
2017-12-04,0.6254928049049024,21,23,0,0,0,0,0,0,0
2017-12-11,0.6502857873746702,22,22,1,0,0,0,0,1,0
2017-12-18,0.639093843534192,22,22,4,4,0,0,2,2,0
2017-12-22,0.7042909607886946,23,23,0,1,0,0,0,0,0
2018-01-01,0.7073425456818667,23,23,1,1,0,0,0,1,0
2018-01-08,0.7334284103155482,24,24,0,1,0,0,0,0,0
2018-01-15,0.7285041512316494,24,24,1,1,0,0,0,1,0
2018-01-22,0.6691132555131856,22,24,0,0,0,0,0,0,0
2018-01-29,0.6038915140109486,21,24,0,0,0,0,0,0,0
2018-02-05,0.47968128085071976,17,18,6,0,6,0,0,0,0
2018-02-12,0.5387788083346629,19,19,1,2,1,0,0,0,0
2018-02-19,0.479978969889971,17,19,0,0,0,0,0,0,0
2018-02-26,0.5089948272030489,18,18,1,0,1,0,0,0,0
2018-03-05,0.46952282162180514,17,17,1,0,1,0,0,0,0
2018-03-12,0.4487478598852964,16,17,0,0,0,0,0,0,0
2018-03-19,0.4114343026194348,15,16,1,0,1,0,0,0,0
2018-03-26,0.40413645774570695,15,16,0,0,0,0,0,0,0
2018-04-02,0.45698961439202224,17,17,0,1,0,0,0,0,0
2018-04-09,0.5221546318810228,18,18,0,1,0,0,0,0,0
2018-04-16,0.5294211556691857,19,19,2,3,1,0,0,1,0
2018-04-23,0.5522342311399262,19,19,1,1,1,0,0,0,0
2018-04-30,0.5600082258647237,19,19,1,1,0,0,0,1,0
2018-05-07,0.512370995996384,18,18,1,0,1,0,0,0,0
2018-05-14,0.47244944956741197,17,17,1,0,1,0,0,0,0
2018-05-21,0.4052735128740439,15,15,4,2,4,0,0,0,0
2018-05-28,0.45278769271893893,17,17,1,3,0,0,0,1,0
2018-06-04,0.4003845945534953,15,15,3,1,3,0,0,0,0
2018-06-11,0.444358272022068,16,16,0,1,0,0,0,0,0
2018-06-18,0.43028220401279943,16,16,2,2,0,0,0,2,0
2018-06-25,0.39060193995862436,15,15,1,0,1,0,0,0,0
2018-07-02,0.35647345039196554,14,14,1,0,1,0,0,0,0
2018-07-09,0.39456340312787547,15,13,1,0,0,0,0,1,0
2018-07-16,0.34497791066777467,14,12,1,0,1,0,0,0,0
2018-07-23,0.37081143821794865,14,12,0,0,0,0,0,0,0
2018-07-30,0.47341748805124895,17,17,1,6,0,0,1,0,0
2018-08-06,0.5170937540695388,18,18,1,2,0,0,0,1,0
