TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,REBALANCE,NV20,NV20,2020-08-03,,,5.78,,34602.0761,,20.0,,BULL
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2020-08-03,,,279.7,,715.0518,,20.0,,BULL
BUY,REBALANCE,EBBETF0430,EBBETF0430,2020-08-03,,,1109.54,,180.2549,,20.0,,BULL
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-08-03,,,5.907,,33858.1344,,20.0,,BULL
BUY,REBALANCE,GOLDBETA,GOLDBETA,2020-08-03,,,49.019,,4080.0506,,20.0,,BULL
SELL,MONTHLY_REBALANCE,NV20,NV20,2020-08-03,2020-09-01,29.0,5.78,5.834,34602.0761,1868.51,20.0,1848.51,BULL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-08-03,2020-09-01,29.0,279.7,283.04,715.0518,2388.27,20.0,2368.27,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2020-08-03,2020-09-01,29.0,1109.54,1095.0,180.2549,-2620.91,20.0,-2640.91,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-08-03,2020-09-01,29.0,5.907,6.445,33858.1344,18215.68,20.0,18195.68,BULL
SELL,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2020-08-03,2020-09-01,29.0,49.019,47.3335,4080.0506,-6876.93,20.0,-6896.93,BULL
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-09-01,,,6.445,,31428.2167,,20.0,,BULL
BUY,REBALANCE,MIDSELIETF,MIDSELIETF,2020-09-01,,,6.376,,31768.3276,,20.0,,BULL
BUY,REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-09-01,,,103.5,,1957.0518,,20.0,,BULL
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-09-01,,,9.436,,21466.1781,,20.0,,BULL
BUY,REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-09-01,,,41.2927,,4905.343,,20.0,,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-09-01,2020-10-01,30.0,6.445,6.53,31428.2167,2671.4,20.0,2651.4,BULL
SELL,MONTHLY_REBALANCE,MIDSELIETF,MIDSELIETF,2020-09-01,2020-10-01,30.0,6.376,6.544,31768.3276,5337.08,20.0,5317.08,BULL
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-09-01,2020-10-01,30.0,103.5,106.96,1957.0518,6771.4,20.0,6751.4,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-09-01,2020-10-01,30.0,9.436,9.658,21466.1781,4765.49,20.0,4745.49,BULL
